date_hour,consumption_hour
2019-02-22 13:00:00,74
2019-02-22 14:00:00,63
2019-02-22 15:00:00,430
2019-02-22 16:00:00,1119
2019-02-22 17:00:00,1390
2019-02-22 18:00:00,331
2019-02-22 19:00:00,33
2019-02-22 20:00:00,180
2019-02-22 21:00:00,736
2019-02-22 22:00:00,1150
2019-02-22 23:00:00,142
2019-02-23 00:00:00,83
2019-02-23 01:00:00,78
2019-02-23 02:00:00,303
2019-02-23 03:00:00,290
2019-02-23 04:00:00,193
2019-02-23 05:00:00,169
2019-02-23 06:00:00,127
2019-02-23 07:00:00,214
2019-02-23 08:00:00,433
2019-02-23 09:00:00,1403
2019-02-23 10:00:00,1360
2019-02-23 11:00:00,300
2019-02-23 12:00:00,74
2019-02-23 13:00:00,126
2019-02-23 14:00:00,40
2019-02-23 15:00:00,113
2019-02-23 16:00:00,82
2019-02-23 17:00:00,72
2019-02-23 18:00:00,125
2019-02-23 19:00:00,35
2019-02-23 20:00:00,121
2019-02-23 21:00:00,79
2019-02-23 22:00:00,74
2019-02-23 23:00:00,126
2019-02-24 00:00:00,34
2019-02-24 01:00:00,223
2019-02-24 02:00:00,88
2019-02-24 03:00:00,58
2019-02-24 04:00:00,129
2019-02-24 05:00:00,213
2019-02-24 06:00:00,107
2019-02-24 07:00:00,89
2019-02-24 08:00:00,57
2019-02-24 09:00:00,128
2019-02-24 10:00:00,174
2019-02-24 11:00:00,103
2019-02-24 12:00:00,90
2019-02-24 13:00:00,188
2019-02-24 14:00:00,127
2019-02-24 15:00:00,53
2019-02-24 16:00:00,96
2019-02-24 17:00:00,221
2019-02-24 18:00:00,51
2019-02-24 19:00:00,127
2019-02-24 20:00:00,200
2019-02-24 21:00:00,92
2019-02-24 22:00:00,103
2019-02-24 23:00:00,169
2019-02-25 00:00:00,128
2019-02-25 01:00:00,1088
2019-02-25 02:00:00,452
2019-02-25 03:00:00,426
2019-02-25 04:00:00,44
2019-02-25 05:00:00,116
2019-02-25 06:00:00,80
2019-02-25 07:00:00,66
2019-02-25 08:00:00,582
2019-02-25 09:00:00,973
2019-02-25 10:00:00,1331
2019-02-25 11:00:00,1194
2019-02-25 12:00:00,61
2019-02-25 13:00:00,130
2019-02-25 14:00:00,53
2019-02-25 15:00:00,112
2019-02-25 16:00:00,113
2019-02-25 17:00:00,51
2019-02-25 18:00:00,138
2019-02-25 19:00:00,68
2019-02-25 20:00:00,502
2019-02-25 21:00:00,1592
2019-02-25 22:00:00,725
2019-02-25 23:00:00,858
2019-02-26 00:00:00,1379
2019-02-26 01:00:00,371
2019-02-26 02:00:00,212
2019-02-26 03:00:00,48
2019-02-26 04:00:00,241
2019-02-26 05:00:00,200
2019-02-26 06:00:00,54
2019-02-26 07:00:00,243
2019-02-26 08:00:00,471
2019-02-26 09:00:00,687
2019-02-26 10:00:00,1350
2019-02-26 11:00:00,1069
2019-02-26 12:00:00,99
2019-02-26 13:00:00,113
2019-02-26 14:00:00,33
2019-02-26 15:00:00,118
2019-02-26 16:00:00,90
2019-02-26 17:00:00,47
2019-02-26 18:00:00,127
2019-02-26 19:00:00,73
2019-02-26 20:00:00,429
2019-02-26 21:00:00,866
2019-02-26 22:00:00,442
2019-02-26 23:00:00,51
2019-02-27 00:00:00,1266
2019-02-27 01:00:00,1821
2019-02-27 02:00:00,1832
2019-02-27 03:00:00,996
2019-02-27 04:00:00,54
2019-02-27 05:00:00,211
2019-02-27 06:00:00,115
2019-02-27 07:00:00,45
2019-02-27 08:00:00,943
2019-02-27 09:00:00,1126
2019-02-27 10:00:00,1248
2019-02-27 11:00:00,1353
2019-02-27 12:00:00,312
2019-02-27 13:00:00,63
2019-02-27 14:00:00,127
2019-02-27 15:00:00,49
2019-02-27 16:00:00,94
2019-02-27 17:00:00,118
2019-02-27 18:00:00,34
2019-02-27 19:00:00,119
2019-02-27 20:00:00,346
2019-02-27 21:00:00,1519
2019-02-27 22:00:00,1140
2019-02-27 23:00:00,1296
2019-02-28 00:00:00,277
2019-02-28 01:00:00,325
2019-02-28 02:00:00,260
2019-02-28 03:00:00,219
2019-02-28 04:00:00,168
2019-02-28 05:00:00,249
2019-02-28 06:00:00,198
2019-02-28 07:00:00,179
2019-02-28 08:00:00,527
2019-02-28 09:00:00,1234
2019-02-28 10:00:00,1298
2019-02-28 11:00:00,1298
2019-02-28 12:00:00,60
2019-02-28 13:00:00,78
2019-02-28 14:00:00,127
2019-02-28 15:00:00,41
2019-02-28 16:00:00,97
2019-02-28 17:00:00,123
2019-02-28 18:00:00,35
2019-02-28 19:00:00,114
2019-02-28 20:00:00,91
2019-02-28 21:00:00,46
2019-02-28 22:00:00,129
2019-02-28 23:00:00,74
2019-03-01 00:00:00,1079
2019-03-01 01:00:00,270
2019-03-01 02:00:00,50
2019-03-01 03:00:00,105
2019-03-01 04:00:00,127
2019-03-01 05:00:00,35
2019-03-01 06:00:00,113
2019-03-01 07:00:00,103
2019-03-01 08:00:00,582
2019-03-01 09:00:00,1705
2019-03-01 10:00:00,2095
2019-03-01 11:00:00,1109
2019-03-01 12:00:00,128
2019-03-01 13:00:00,45
2019-03-01 14:00:00,1040
2019-03-01 15:00:00,1396
2019-03-01 16:00:00,569
2019-03-01 17:00:00,127
2019-03-01 18:00:00,44
2019-03-01 19:00:00,367
2019-03-01 20:00:00,1475
2019-03-01 21:00:00,847
2019-03-01 22:00:00,278
2019-03-01 23:00:00,730
2019-03-02 00:00:00,772
2019-03-02 01:00:00,179
2019-03-02 02:00:00,259
2019-03-02 03:00:00,268
2019-03-02 04:00:00,376
2019-03-02 05:00:00,243
2019-03-02 06:00:00,284
2019-03-02 07:00:00,286
2019-03-02 08:00:00,256
2019-03-02 09:00:00,554
2019-03-02 10:00:00,1493
2019-03-02 11:00:00,1617
2019-03-02 12:00:00,2052
2019-03-02 13:00:00,1444
2019-03-02 14:00:00,2467
2019-03-02 15:00:00,1552
2019-03-02 16:00:00,224
2019-03-02 17:00:00,313
2019-03-02 18:00:00,1063
2019-03-02 19:00:00,1823
2019-03-02 20:00:00,882
2019-03-02 21:00:00,60
2019-03-02 22:00:00,99
2019-03-02 23:00:00,192
2019-03-03 00:00:00,542
2019-03-03 01:00:00,368
2019-03-03 02:00:00,111
2019-03-03 03:00:00,134
2019-03-03 04:00:00,91
2019-03-03 05:00:00,80
2019-03-03 06:00:00,135
2019-03-03 07:00:00,74
2019-03-03 08:00:00,95
2019-03-03 09:00:00,126
2019-03-03 10:00:00,35
2019-03-03 11:00:00,367
2019-03-03 12:00:00,738
2019-03-03 13:00:00,1230
2019-03-03 14:00:00,1348
2019-03-03 15:00:00,1324
2019-03-03 16:00:00,763
2019-03-03 17:00:00,148
2019-03-03 18:00:00,52
2019-03-03 19:00:00,126
2019-03-03 20:00:00,58
2019-03-03 21:00:00,1441
2019-03-03 22:00:00,1453
2019-03-03 23:00:00,370
2019-03-04 00:00:00,704
2019-03-04 01:00:00,486
2019-03-04 02:00:00,539
2019-03-04 03:00:00,108
2019-03-04 04:00:00,102
2019-03-04 05:00:00,72
2019-03-04 06:00:00,120
2019-03-04 07:00:00,45
2019-03-04 08:00:00,1014
2019-03-04 09:00:00,1293
2019-03-04 10:00:00,1157
2019-03-04 11:00:00,84
2019-03-04 12:00:00,83
2019-03-04 13:00:00,99
2019-03-04 14:00:00,59
2019-03-04 15:00:00,115
2019-03-04 16:00:00,44
2019-03-04 17:00:00,129
2019-03-04 18:00:00,43
2019-03-04 19:00:00,115
2019-03-04 20:00:00,1076
2019-03-04 21:00:00,1783
2019-03-04 22:00:00,1346
2019-03-04 23:00:00,711
2019-03-05 00:00:00,243
2019-03-05 01:00:00,173
2019-03-05 02:00:00,250
2019-03-05 03:00:00,157
2019-03-05 04:00:00,232
2019-03-05 05:00:00,179
2019-03-05 06:00:00,244
2019-03-05 07:00:00,204
2019-03-05 08:00:00,622
2019-03-05 09:00:00,791
2019-03-05 10:00:00,1264
2019-03-05 11:00:00,1294
2019-03-05 12:00:00,426
2019-03-05 13:00:00,43
2019-03-05 14:00:00,128
2019-03-05 15:00:00,53
2019-03-05 16:00:00,107
2019-03-05 17:00:00,88
2019-03-05 18:00:00,70
2019-03-05 19:00:00,119
2019-03-05 20:00:00,266
2019-03-05 21:00:00,1692
2019-03-05 22:00:00,1263
2019-03-05 23:00:00,2350
2019-03-06 00:00:00,1732
2019-03-06 01:00:00,1553
2019-03-06 02:00:00,802
2019-03-06 03:00:00,171
2019-03-06 04:00:00,355
2019-03-06 05:00:00,197
2019-03-06 06:00:00,210
2019-03-06 07:00:00,540
2019-03-06 08:00:00,527
2019-03-06 09:00:00,944
2019-03-06 10:00:00,1519
2019-03-06 11:00:00,1385
2019-03-06 12:00:00,1280
2019-03-06 13:00:00,505
2019-03-06 14:00:00,86
2019-03-06 15:00:00,65
2019-03-06 16:00:00,115
2019-03-06 17:00:00,35
2019-03-06 18:00:00,129
2019-03-06 19:00:00,54
2019-03-06 20:00:00,235
2019-03-06 21:00:00,79
2019-03-06 22:00:00,73
2019-03-06 23:00:00,111
2019-03-07 00:00:00,818
2019-03-07 01:00:00,509
2019-03-07 02:00:00,331
2019-03-07 03:00:00,118
2019-03-07 04:00:00,74
2019-03-07 05:00:00,92
2019-03-07 06:00:00,102
2019-03-07 07:00:00,220
2019-03-07 08:00:00,516
2019-03-07 09:00:00,810
2019-03-07 10:00:00,1347
2019-03-07 11:00:00,1155
2019-03-07 12:00:00,103
2019-03-07 13:00:00,74
2019-03-07 14:00:00,83
2019-03-07 15:00:00,92
2019-03-07 16:00:00,60
2019-03-07 17:00:00,118
2019-03-07 18:00:00,33
2019-03-07 19:00:00,127
2019-03-07 20:00:00,1036
2019-03-07 21:00:00,3009
2019-03-07 22:00:00,1573
2019-03-07 23:00:00,1344
2019-03-08 00:00:00,546
2019-03-08 01:00:00,190
2019-03-08 02:00:00,221
